RimeA	RimeB	Occurrence
aŋ	aŋ	1223
a	a	971
ə	ə	551
ək	ək	381
u	u	377
ak	ak	253
at	at	221
aj	aj	217
eŋ	eŋ	207
əj	əj	177
əŋ	əŋ	175
oŋ	oŋ	153
ok	ok	129
ar	ar	119
ij	ij	105
an	an	105
aw	aw	93
o	o	93
it	it	77
uk	uk	69
ə	ək	58
ək	ə	58
iŋ	iŋ	53
uŋ	uŋ	53
ak	a	51
a	ak	51
an	ar	51
ar	an	51
uj	uj	47
əm	əm	45
in	in	39
ut	ut	37
əj	ij	36
ij	əj	36
ər	ər	33
un	un	33
in	iŋ	33
iŋ	in	33
əp	ək	27
ek	ek	27
ək	əp	27
a	ə	27
ə	a	27
awk	awk	25
am	am	23
e	e	23
on	on	21
ewk	ewk	21
o	ok	21
ən	ən	21
ok	o	21
aŋ	ə	20
ə	aŋ	20
en	en	19
a	aj	18
u	iŋ	18
ər	əj	18
ə	u	18
əj	ər	18
iŋ	u	18
aj	a	18
u	ə	18
awk	aw	17
aw	awk	17
u	aŋ	16
iŋ	a	16
aŋ	u	16
a	iŋ	16
aŋ	iŋ	15
iŋ	aŋ	15
ə	ar	14
ik	it	14
ar	ə	14
it	ik	14
ə	iŋ	13
iw	iw	13
iŋ	ə	13
et	at	13
ur	ur	13
at	et	13
iŋ	eŋ	12
eŋ	iŋ	12
u	a	12
oŋ	aŋ	12
aŋ	oŋ	12
a	u	12
a	aŋ	11
uŋ	oŋ	11
oŋ	uŋ	11
aŋ	a	11
ə	eŋ	11
eŋ	ə	11
ar	a	10
u	ar	10
ə	it	10
əm	əŋ	10
e	ek	10
aj	ə	10
ə	əŋ	10
ek	e	10
aŋ	ar	10
it	ə	10
ə	aj	10
əŋ	əm	10
əŋ	ə	10
ar	u	10
a	ar	10
ar	aŋ	10
awk	ewk	9
eŋ	a	9
ə	ak	9
iŋ	aj	9
aj	iŋ	9
aj	ar	9
it	aŋ	9
uk	u	9
u	ak	9
ən	ər	9
ak	ə	9
ap	ap	9
a	ok	9
ak	u	9
ur	un	9
a	eŋ	9
aŋ	it	9
u	uk	9
un	ur	9
ar	aj	9
ə	əp	9
ər	ən	9
ok	a	9
ewk	awk	9
əp	ə	9
it	et	8
ə	əj	8
up	ut	8
o	a	8
ij	it	8
ek	aŋ	8
ə	ən	8
əj	ə	8
et	it	8
uj	ə	8
aŋ	ek	8
o	u	8
ə	oŋ	8
ə	e	8
u	o	8
ək	aŋ	8
a	o	8
it	ij	8
ə	uj	8
ən	ə	8
aŋ	ək	8
e	ə	8
oŋ	ə	8
ut	up	8
əj	ək	7
in	ər	7
ər	ij	7
ə	ij	7
ər	in	7
up	up	7
a	it	7
ək	a	7
a	ək	7
ij	ər	7
ək	əj	7
ij	ə	7
ək	ij	7
it	a	7
ij	ək	7
ər	a	6
it	at	6
ok	u	6
ar	on	6
un	iŋ	6
oŋ	u	6
a	ij	6
a	ər	6
u	oŋ	6
at	it	6
ər	ə	6
